retweet_count,id
78750,1066352041835065344
53846,1066362224179073024
53837,1066776283726704646
53810,1067686853673930753
53808,1067796069130620933
33237,1066670065708347393
33236,1066665047076810754
33236,1066677970125971456
33236,1067014538296463367
33235,1066662589004959745
33235,1066677907559522306
33235,1067009161219792896
33234,1066658056442908672
33234,1066676988902035457
33233,1066648185307709441
33232,1066644751481368576
33231,1066634256124993536
23895,1066819290928689154
23893,1067282295248302080